,Country,Region,iso_a3,wh_score,gdi,gii,efs,pdn,year,region_5,region_14,region_12,region_8,region_9,region_2,region_11,region_13,region_10,region_7,region_1,region_3,region_4,region_6
138,Argentina,Latin America and the Caribbean,ARG,6.598999977111816,0.991,0.359,43.77,15.928135082892098,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0
139,Armenia,Western Asia,ARM,4.375999927520752,0.97,0.3,66.96,103.131225851774,2016,0,0,0,0,0,0,0,0,0,0,0,0,1,0
140,Australia,Australia and New Zealand,AUS,7.283999919891357,0.975,0.107,80.34,3.14493553058884,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Austria,Western Europe,AUT,7.00600004196167,0.9640000000000001,0.086,71.67,105.869493435483,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1
142,Azerbaijan,Western Asia,AZE,5.234000205993652,0.94,0.315,60.2,118.03328898028299,2016,0,0,0,0,0,0,0,0,0,0,0,0,1,0
143,Bahrain,Western Asia,BHR,6.0869998931884775,0.932,0.225,74.25,1832.6361749002301,2016,0,0,0,0,0,0,0,0,0,0,0,0,1,0
144,Bangladesh,Southern Asia,BGD,4.607999801635742,0.889,0.547,53.32,1213.57332718752,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0
145,Belarus,Eastern Europe,BLR,5.568999767303467,1.014,0.136,48.77,46.808351401608704,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0
146,Belgium,Western Europe,BEL,6.890999794006348,0.972,0.053,68.41,374.221334214003,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1
147,Belize,Latin America and the Caribbean,BLZ,5.9559998512268075,0.9790000000000001,0.384,57.35,16.1508110477861,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0
148,Benin,Sub-Saharan Africa,BEN,3.6570000648498535,0.883,0.618,59.31,96.4177633912735,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0
149,Bhutan,Southern Asia,BTN,5.011000156402588,0.892,0.491,59.53,19.3138899659506,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0
150,Bolivia,Latin America and the Caribbean,BOL,5.822999954223633,0.932,0.44799999999999995,47.4,10.1835253392412,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0
151,Bosnia and Herzegovina,Southern Europe,BIH,5.182000160217285,0.9209999999999999,0.17300000000000001,58.63,66.13802734375,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0
152,Botswana,Sub-Saharan Africa,BWA,3.766000032424927,0.988,0.467,71.07,3.8112399202442098,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0
153,Brazil,Latin America and the Caribbean,BRA,6.635000228881836,0.996,0.41,56.54,24.6661407920901,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0
154,Bulgaria,Eastern Europe,BGR,4.714000225067139,0.993,0.23199999999999998,65.86,65.6579034635225,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0
